user_id,cate,shop_id
788973,15,9306
1259113,34,4349
671796,34,9583
213782,70,6541
290978,75,68
720525,34,9328
646212,72,2721
94084,24,9165
295291,24,10101
1374205,27,3628
914702,27,10057
1025043,7,405
970313,63,1788
98358,4,10081
983948,55,5239
1608376,34,3230
1147875,26,5978
1511930,81,5294
156626,7,5937
870546,12,8556
479960,53,8389
840860,67,827
1245679,34,7140
41712,81,3176
541035,62,8002
776131,26,835
1463416,56,2794
934264,76,526
1055767,24,9569
122483,24,4241
1549770,34,6327
139324,55,3230
1189783,24,7311
475968,77,47
1519631,7,8364
971897,69,4005
1588378,7,405
1276114,47,4278
293817,75,8510
1470337,43,7918
200527,20,6994
858340,43,7587
999493,7,8632
187320,72,2028
1003117,55,8592
1487466,81,5722
587822,69,4005
252477,34,4349
1588699,69,1496
209196,20,3578
1133785,75,412
373707,75,1122
1236935,17,6
141900,8,4019
1521957,43,3281
1046242,34,9081
1079835,28,873
517994,73,6926
85539,73,6380
871406,51,291
610136,7,339
957309,41,8353
426988,7,563
1485580,41,873
660573,81,4791
274143,57,594
682344,34,6327
1194279,27,6357
1202168,34,7092
290744,69,274
1347722,43,9868
1119,8,4019
1194417,7,5791
955788,41,1386
122225,51,291
530664,20,2339
187476,34,4665
1224098,14,8992
1303083,77,3263
1243019,24,6770
790593,69,2731
282270,19,5708
986226,12,1034
1184589,43,8100
934595,24,6524
703623,7,2133
1074352,44,2345
1443075,76,154
657745,8,449
636356,25,3066
291379,7,7379
1174424,46,8588
753396,55,6822
895198,19,5708
40804,43,7852
1361079,51,9483
1302653,14,1975
780937,51,5559
1509508,12,353
1143155,75,3866
635876,81,4222
122063,34,526
1580042,55,5239
157235,34,4349
773830,9,5099
692637,7,7030
219250,78,1016
1104509,55,5239
530516,36,3569
1462721,48,9846
457127,69,7177
1352063,55,1886
511394,24,8259
814394,52,7801
40739,41,4192
841123,69,4488
465841,27,8999
110944,81,2622
1365784,27,5469
1569601,26,5978
480084,23,291
340232,34,3230
1296801,75,189
540902,20,1337
563248,67,5061
269166,22,1802
448977,37,1476
89481,7,405
773849,67,10240
28255,27,9480
830961,76,3230
863933,20,7127
1137899,67,6105
71296,23,506
1146225,34,4611
1321193,43,3230
912182,17,3291
1461304,21,8352
485424,69,8064
425344,24,10058
1139313,75,6182
1430832,24,8259
1401905,7,7588
1502485,21,1525
216284,53,1982
746752,27,2645
971799,76,526
851956,70,1761
112710,24,9245
1005708,79,7783
1603890,75,2491
1263900,7,405
543437,56,9260
1272012,27,5736
698831,9,3284
1470029,75,8840
1072689,24,2567
450059,47,8847
611290,27,4665
1375485,32,1665
323632,70,8377
43655,24,10150
459001,55,9081
1321241,19,4996
162929,21,6399
1554092,66,8843
1603814,44,9904
907367,75,5525
247657,31,7918
1380779,24,3177
364255,7,524
15789,55,5239
1429397,55,2424
1550675,24,5125
324362,31,4303
642081,75,5525
871493,43,1315
1336834,69,4948
553038,20,3888
1568642,7,6785
60051,77,3174
727843,23,9883
1489039,81,4731
621953,39,9821
587371,67,9132
191031,81,9518
1553382,7,2311
834856,22,1892
27433,75,1122
31249,12,6302
27388,11,4926
371000,9,3284
143033,55,1634
71546,69,8064
42726,75,9544
1581501,9,8721
1104805,29,10178
772350,7,8523
1430716,27,6357
1212201,26,4848
587358,7,4036
936606,67,8111
1395943,24,1424
562558,34,1528
957570,34,3230
