f_id,f_name,f_pro
f375,user_sku_buy_ratio,175
f374,user_sku_view_ratio,96
f308,user_view_ratio,94
f384,user_sku_user_cart_ratio,87
f370,user_sku_buy_day,83
f386,user_sku_last_hour,72
f378,user_sku_cart_ratio,72
f326,fans_num,65
f344,sku_view_ratio,62
f292,user_reg_day,62
f350,sku_buy/follow,56
f320,brand,49
f322,product_reg_day,48
f351,sku_buy/remark,47
f291,county,47
f316,user_buy/cart,45
f385,user_sku_first_hour,45
f312,user_cart_ratio,44
f352,sku_buy/cart,41
f318,user_last_hour,40
f327,vip_num,40
f369,user_sku_view_day,36
f309,user_buy_ratio,35
f345,sku_buy_ratio,35
f317,user_first_hour,34
f348,sku_cart_ratio,33
f289,province,33
f381,user_sku_user_buy_ratio,32
f290,city,32
f337,sku_cart_amt,31
f315,user_buy/remark,30
f281,14_user_sku_user_buy_ratio,28
f268,14_user_sku_view_amt,26
f321,cate,24
f330,shop_reg_month,24
f364,user_sku_buy_amt,21
f340,sku_buy_day,21
f328,shop_cate,21
f349,sku_buy/view,21
f377,user_sku_remark_ratio,21
f313,user_buy/view,20
f319,user_last_amt,20
f263,14_user_sku_if_buy,20
f353,sku_rebuy_rate,20
f172,7_user_if_buy,20
f346,sku_follow_ratio,19
f347,sku_remark_ratio,19
f297,user_view_amt,19
f119,3_user_action_amt,18
f62,2_user_action_amt,18
f311,user_remark_ratio,18
f120,3_user_view_amt,17
f333,sku_view_amt,17
f223,7_user_sku_user_view_ratio,17
f234,14_user_view_amt,17
f177,7_user_view_amt,16
f211,7_user_sku_view_amt,16
f275,14_user_sku_buy_day,16
f314,user_buy/follow,15
f358,user_sku_if_buy,15
f373,user_sku_cart_day,15
f136,3_sku_action_amt,14
f303,user_view_day,14
f356,sku_last_amt,14
f251,14_sku_view_amt,13
f304,user_buy_day,13
f109,2_user_sku_user_view_ratio,13
f121,3_user_buy_amt,13
f279,14_user_sku_user_action_ratio,13
f341,sku_follow_day,13
f166,3_user_sku_user_view_ratio,12
f148,3_user_sku_if_view,12
f267,14_user_sku_action_amt,12
f355,sku_last_hour,12
f363,user_sku_view_amt,12
f301,user_cart_amt,12
f252,14_sku_buy_amt,11
f233,14_user_action_amt,11
f296,user_action_amt,11
f307,user_cart_day,11
f81,2_sku_buy_amt,11
f193,7_sku_action_amt,11
f380,user_sku_user_view_ratio,11
f285,age,11
f310,user_follow_ratio,10
f379,user_sku_user_action_ratio,10
f202,7_sku_follow_day,10
f336,sku_remark_amt,10
f82,2_sku_follow_amt,10
f224,7_user_sku_user_buy_ratio,10
f63,2_user_view_amt,9
f286,sex,9
f250,14_sku_action_amt,9
f280,14_user_sku_user_view_ratio,9
f138,3_sku_buy_amt,9
f342,sku_remark_day,9
f367,user_sku_cart_amt,9
f165,3_user_sku_user_action_ratio,8
f302,user_active_day,8
f334,sku_buy_amt,8
f79,2_sku_action_amt,8
f273,14_user_sku_action_day,8
f194,7_sku_view_amt,8
f288,city_level,8
f269,14_user_sku_buy_amt,8
f282,14_user_sku_user_follow_ratio,8
f229,14_user_if_buy,7
f176,7_user_action_amt,7
f300,user_remark_amt,7
f323,product_reg_month,7
f293,user_reg_month,7
f362,user_sku_action_amt,7
f222,7_user_sku_user_action_ratio,7
f195,7_sku_buy_amt,7
f354,sku_first_hour,6
f382,user_sku_user_follow_ratio,6
f287,user_lv_cd,6
f183,7_user_view_day,6
f137,3_sku_view_amt,6
f239,14_user_active_day,6
f366,user_sku_remark_amt,5
f260,14_sku_remark_day,5
f338,sku_active_day,5
f97,2_user_sku_view_amt,5
f237,14_user_remark_amt,5
f240,14_user_view_day,5
f253,14_sku_follow_amt,5
f332,sku_action_amt,5
f115,3_user_if_buy,5
f139,3_sku_follow_amt,5
f241,14_user_buy_day,5
f335,sku_follow_amt,5
f339,sku_view_day,5
f235,14_user_buy_amt,4
f196,7_sku_follow_amt,4
f154,3_user_sku_view_amt,4
f329,shop_score,4
f256,14_sku_active_day,4
f258,14_sku_buy_day,4
f360,user_sku_if_remark,4
f376,user_sku_follow_ratio,4
f153,3_user_sku_action_amt,4
f254,14_sku_remark_amt,4
f343,sku_cart_day,4
f217,7_user_sku_view_day,4
f383,user_sku_user_remark_ratio,4
f108,2_user_sku_user_action_ratio,3
f262,14_user_sku_if_view,3
f111,2_user_sku_user_follow_ratio,3
f80,2_sku_view_amt,3
f132,3_sku_if_buy,3
f387,user_sku_last_amt,3
f83,2_sku_remark_amt,3
f299,user_follow_amt,3
f298,user_buy_amt,3
f216,7_user_sku_action_day,3
f180,7_user_remark_amt,3
f361,user_sku_if_cart,3
f206,7_user_sku_if_buy,3
f305,user_follow_day,3
f274,14_user_sku_view_day,3
f368,user_sku_action_day,3
f123,3_user_remark_amt,3
f178,7_user_buy_amt,2
f197,7_sku_remark_amt,2
f174,7_user_if_remark,2
f226,7_user_sku_user_remark_ratio,2
f306,user_remark_day,2
f182,7_user_active_day,2
f264,14_user_sku_if_follow,2
f210,7_user_sku_action_amt,2
f184,7_user_buy_day,2
f201,7_sku_buy_day,2
f295,user_reg_year,2
f140,3_sku_remark_amt,2
f75,2_sku_if_buy,1
f359,user_sku_if_follow,1
f236,14_user_follow_amt,1
f159,3_user_sku_action_day,1
f203,7_sku_remark_day,1
f365,user_sku_follow_amt,1
f110,2_user_sku_user_buy_ratio,1
f186,7_user_remark_day,1
f259,14_sku_follow_day,1
f225,7_user_sku_user_follow_ratio,1
f114,3_user_if_view,1
f218,7_user_sku_buy_day,1
f200,7_sku_view_day,1
f122,3_user_follow_amt,1
f125,3_user_action_day,1
f231,14_user_if_remark,1
f283,14_user_sku_user_remark_ratio,1
f145,3_sku_follow_day,1
f149,3_user_sku_if_buy,1
f167,3_user_sku_user_buy_ratio,1
f331,shop_reg_cate,1
f68,2_user_active_day,1
f96,2_user_sku_action_amt,1
f169,3_user_sku_user_remark_ratio,1
