f_id,f_name,f_pro
f375,user_sku_buy_ratio,173
f374,user_sku_view_ratio,98
f308,user_view_ratio,91
f384,user_sku_user_cart_ratio,86
f370,user_sku_buy_day,84
f386,user_sku_last_hour,76
f292,user_reg_day,66
f378,user_sku_cart_ratio,65
f326,fans_num,61
f350,sku_buy/follow,61
f344,sku_view_ratio,57
f312,user_cart_ratio,50
f322,product_reg_day,50
f318,user_last_hour,49
f291,county,46
f351,sku_buy/remark,45
f327,vip_num,45
f320,brand,44
f317,user_first_hour,40
f385,user_sku_first_hour,39
f316,user_buy/cart,39
f369,user_sku_view_day,37
f352,sku_buy/cart,35
f345,sku_buy_ratio,34
f348,sku_cart_ratio,34
f309,user_buy_ratio,33
f381,user_sku_user_buy_ratio,32
f290,city,31
f281,14_user_sku_user_buy_ratio,31
f289,province,30
f263,14_user_sku_if_buy,27
f315,user_buy/remark,26
f211,7_user_sku_view_amt,26
f321,cate,26
f377,user_sku_remark_ratio,26
f337,sku_cart_amt,25
f314,user_buy/follow,25
f268,14_user_sku_view_amt,25
f380,user_sku_user_view_ratio,23
f340,sku_buy_day,23
f347,sku_remark_ratio,22
f349,sku_buy/view,22
f234,14_user_view_amt,22
f358,user_sku_if_buy,21
f313,user_buy/view,20
f364,user_sku_buy_amt,19
f194,7_sku_view_amt,19
f120,3_user_view_amt,18
f296,user_action_amt,17
f307,user_cart_day,17
f311,user_remark_ratio,17
f62,2_user_action_amt,17
f336,sku_remark_amt,16
f333,sku_view_amt,16
f330,shop_reg_month,16
f304,user_buy_day,16
f275,14_user_sku_buy_day,15
f353,sku_rebuy_rate,15
f339,sku_view_day,15
f355,sku_last_hour,15
f346,sku_follow_ratio,15
f319,user_last_amt,15
f193,7_sku_action_amt,15
f297,user_view_amt,14
f356,sku_last_amt,14
f79,2_sku_action_amt,14
f223,7_user_sku_user_view_ratio,14
f303,user_view_day,14
f328,shop_cate,14
f363,user_sku_view_amt,14
f222,7_user_sku_user_action_ratio,13
f367,user_sku_cart_amt,13
f172,7_user_if_buy,12
f301,user_cart_amt,12
f63,2_user_view_amt,12
f119,3_user_action_amt,12
f373,user_sku_cart_day,11
f286,sex,11
f177,7_user_view_amt,11
f82,2_sku_follow_amt,11
f136,3_sku_action_amt,11
f148,3_user_sku_if_view,10
f310,user_follow_ratio,10
f273,14_user_sku_action_day,10
f285,age,10
f195,7_sku_buy_amt,10
f361,user_sku_if_cart,9
f259,14_sku_follow_day,9
