f_id,f_name,f_pro
f375,user_sku_buy_ratio,158
f386,user_sku_last_hour,117
f374,user_sku_view_ratio,113
f308,user_view_ratio,93
f370,user_sku_buy_day,86
f352,sku_buy/cart,72
f344,sku_view_ratio,71
f384,user_sku_user_cart_ratio,70
f326,fans_num,66
f327,vip_num,60
f378,user_sku_cart_ratio,59
f292,user_reg_day,58
f316,user_buy/cart,58
f320,brand,51
f377,user_sku_remark_ratio,47
f322,product_reg_day,47
f347,sku_remark_ratio,45
f350,sku_buy/follow,44
f318,user_last_hour,39
f345,sku_buy_ratio,38
f291,county,38
f381,user_sku_user_buy_ratio,34
f330,shop_reg_month,34
f351,sku_buy/remark,33
f263,14_user_sku_if_buy,32
f281,14_user_sku_user_buy_ratio,32
f312,user_cart_ratio,31
f369,user_sku_view_day,31
f289,province,30
f385,user_sku_first_hour,30
f311,user_remark_ratio,30
f349,sku_buy/view,29
f317,user_first_hour,29
f290,city,29
f321,cate,27
f364,user_sku_buy_amt,27
f328,shop_cate,25
f309,user_buy_ratio,25
f348,sku_cart_ratio,24
f285,age,24
f313,user_buy/view,23
f353,sku_rebuy_rate,23
f304,user_buy_day,22
f361,user_sku_if_cart,21
f314,user_buy/follow,21
f363,user_sku_view_amt,21
f315,user_buy/remark,21
f383,user_sku_user_remark_ratio,20
f211,7_user_sku_view_amt,20
f303,user_view_day,19
f280,14_user_sku_user_view_ratio,18
f319,user_last_amt,18
f354,sku_first_hour,18
f194,7_sku_view_amt,18
f337,sku_cart_amt,17
f275,14_user_sku_buy_day,17
f296,user_action_amt,17
f340,sku_buy_day,17
f121,3_user_buy_amt,17
f268,14_user_sku_view_amt,17
f224,7_user_sku_user_buy_ratio,16
f355,sku_last_hour,16
f251,14_sku_view_amt,15
f172,7_user_if_buy,15
f387,user_sku_last_amt,15
f376,user_sku_follow_ratio,15
f139,3_sku_follow_amt,15
f297,user_view_amt,15
f267,14_user_sku_action_amt,15
f379,user_sku_user_action_ratio,15
f346,sku_follow_ratio,14
f120,3_user_view_amt,14
f223,7_user_sku_user_view_ratio,13
f356,sku_last_amt,13
f380,user_sku_user_view_ratio,12
f115,3_user_if_buy,12
